client_id,primaryphonenumber,attribution_type,description,custom_group_id,referral,sub_referral,parameter_in_referrer_url,key,value,call_recording,whisper,status,primary_group,secondary_group,billed,test
49443,8158744500,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49512,7705527114,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49514,9107626503,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49523,2058241118,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
50833,4257756464,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
51090,7202598870,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
51137,8006968051,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
51213,8708193265,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
51269,5123533780,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
51297,4104842722,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
51429,9728408888,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
51456,4806642244,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
51842,7172996155,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
52378,4194736300,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
52574,8173378300,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
53076,3032882900,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
53449,3367667966,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
53555,9103133188,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
53890,3195457621,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
54280,5703254239,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
54477,9739550100,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
55438,2707656552,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
55575,3607372696,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
55778,5137529160,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56145,3366267555,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56145,3368855437,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56238,5867255556,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56238,5864120090,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56238,5867510070,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56238,3138825600,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56238,5862685520,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56238,5864120091,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56369,5167460183,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56435,6087841730,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56492,5122515522,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
56561,5123278190,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
